id,participant,engagement,temp,free,workload
108,108,83.46177059,80.27970077,4.593774581,3.725711497
109,109,87.00192749,88.31380029,11.24000642,3.575360002
110,110,85.30448738,90.29108979,0,4.061187358
111,111,84.53833079,85.69981644,5.903248094,6.758267124
112,112,80.16115073,78.43416905,5.320722937,10
113,113,84.05414947,83.48942962,9.642126994,10
114,114,80.98294195,75.42723273,3.405614592,5.828004501
115,115,82.84568659,85.6172603,8.784281045,5.878242608
116,116,83.50234987,86.03230993,6.442137971,10
117,117,84.333309,82.80514561,12.00479314,9.631298449
118,118,83.58107161,82.69784455,3.831535947,2.54248913
119,119,84.18830609,78.59062278,8.990574012,1.36090668
120,120,80.66351635,79.10665757,9.689511354,10
121,121,84.37940216,76.81361584,0.576672582,6.044853586
122,122,80.1816138,79.13146894,0.25,5.318189389
123,123,80.54279157,77.38602898,5.30783657,8.631676034
124,124,86.47231522,82.42836942,8.634860514,7.616381792
125,125,84.63782402,84.6608005,6.48667323,5.465773211
126,126,85.80821341,86.81840985,3.956234874,2.329615993
127,127,80.2579895,77.41604455,2.979952457,10
128,128,80.11328529,92.50857017,2.886167173,7.098344532
129,129,81.89469267,74.30436954,0.935689955,3.461062473
130,130,84.35388057,86.12029264,12.90357471,9.043304007
131,131,84.84186281,86.82151252,6.011380727,5.431236649
132,132,86.56419487,87.42571186,4.543805455,10
133,133,81.11033289,73.2666491,3.925750862,3.020674254
134,134,82.59856582,76.37810356,3.253898637,2.566747204
135,135,83.54325868,78.64684535,8.338969376,8.696449187
136,136,84.29845741,79.60651133,11.04004135,3.400820889
137,137,83.3060669,85.27348387,4.918850057,5.505696648
138,138,83.6622825,85.2052606,4.239123776,3.160177621
139,139,84.34088488,86.0076001,4.093037587,2.338225522
140,140,86.68737097,87.57061194,8.746186661,4.304888548
141,141,81.62155655,82.38422907,8.331836753,6.496112206
142,142,81.22217132,81.84288892,2.651369864,4.807346742
143,143,83.84304454,85.29311958,0.068360155,7.103054046
144,144,84.56139322,85.35628663,5.249565512,4.331060381
145,145,84.44479875,91.51412943,5.929437667,5.95593541
146,146,84.59160398,78.77718581,9.634830623,4.216941812
147,147,84.0103008,81.92701802,12.26726292,8.757722322
148,148,86.8866266,87.10218977,8.179011222,5.138060989
149,149,81.64788338,74.48007715,8.80203745,7.949511138
150,150,83.66205603,82.69250121,9.462281447,6.541548139
151,151,83.07202748,78.81130899,2.071915133,1.729990616
152,152,84.48951321,80.58868643,3.524173958,10
153,153,84.65809724,87.29035928,10.17017374,5.624796036
154,154,82.05646127,81.50602056,0.314507874,9.843174974
155,155,84.00845441,83.42586652,5.001944738,5.659607065
156,156,86.46514268,91.90829298,8.570987945,6.83245795
157,157,83.58571076,82.89322031,7.129973274,3.308395008
158,158,87.33134834,92.59880399,8.586980989,6.548634487
159,159,83.77649671,84.86741382,8.146813126,6.524643835
160,160,81.85414087,77.97238329,5.050705189,6.675929481
161,161,82.42429709,80.64210536,11.2788505,7.772181506
162,162,84.96467615,82.22084142,7.840928209,9.370416405
163,163,83.6604103,81.96912196,9.957056304,7.443460541
164,164,83.54385606,86.0900051,0.232417556,6.345303657
165,165,85.8875762,85.43818149,9.265156986,4.857551272
166,166,81.57279135,71.4011256,4.843628388,5.918948691
167,167,81.60899156,81.31460198,7.717136116,6.600979561
168,168,84.2034158,77.51518744,6.319890897,8.002607283
169,169,82.25034578,75.92623502,9.978330141,8.934475571
170,170,83.4614714,82.94357175,2.797030725,8.406932563
171,171,83.55538833,92.26836636,5.276655059,4.93099511
172,172,84.91457549,85.4102929,6.033671849,6.897212749
173,173,86.16958447,91.0358069,9.739230313,7.190283977
174,174,85.55817296,89.51216408,4.488556734,3.98847562
175,175,81.96662579,81.00779149,13.70936148,10
176,176,82.49898933,81.95128765,4.682721188,10
177,177,83.1367537,83.91444282,5.401289753,3.395813941
178,178,81.88268972,88.89460738,7.768194386,6.269216429
179,179,82.64340553,75.70061605,10.52958496,9.033716792
180,180,79.09429806,75.64388989,4.600709161,6.593793733
181,181,81.59832299,82.69876668,0.15,5.518007655
182,182,83.31461607,82.29988704,2.671632553,3.13767847
183,183,85.94975461,85.9709569,5.447859007,0.866160475
184,184,81.71000688,78.0308687,5.960341984,10
185,185,81.88980162,78.23947049,7.525373182,4.163388148
186,186,83.27569793,93.58864455,6.387326593,5.131585687
187,187,84.02031627,89.81220626,2.991042511,8.351910551
188,188,84.48818287,87.64586127,8.521560686,10
189,189,86.26495238,86.9594635,9.95795752,7.013376189
190,190,84.78457541,88.6497676,3.415618186,7.082172781
191,191,81.46187275,77.01112606,5.866000724,3.286457273
192,192,79.87155293,79.14521228,2.685498943,3.488379356
193,193,86.9123016,93.5382095,6.164910686,3.169243212
194,194,83.16868362,85.62138775,1.811862509,0.858330596
195,195,84.79564553,81.18513905,7.114178557,5.424580331
196,196,83.07454667,85.74569898,3.085572551,10
197,197,82.80587612,76.98691765,0.311994255,4.148391284
198,198,83.58819624,79.72118796,8.950361062,8.168283574
199,199,82.32241639,76.53107387,5.42591085,10
200,200,82.42834949,82.40847149,8.291703263,9.441477335
201,201,85.09232054,81.91090358,4.232313761,3.003924811
202,202,83.85241929,80.85274939,7.592221731,4.316156667
203,203,83.78712193,85.71149636,6.76057278,5.025636989
204,204,84.00115521,88.56712916,6.411213878,5.830789153
205,205,84.95534909,89.99161164,2.628727517,0
206,206,85.13049937,83.64834061,15.26297446,4.493775593
207,207,86.41606526,81.04712895,10.93865135,7.78546412
208,208,83.29024235,81.03050728,6.382843293,3.759166209
209,209,82.83375337,81.50276781,5.808528473,8.445644212
210,210,83.50548998,85.05475402,7.092956955,7.857138737
211,211,84.96795911,86.94511624,9.560193475,4.507041484
212,212,81.99066023,81.45533384,9.608304811,8.018980094
213,213,82.5028767,79.8254665,3.922285988,0
214,214,82.6044932,91.3603416,7.599616925,5.965267594
215,215,83.23066982,81.01386818,7.12661432,3.769500338
216,216,80.9533328,80.35315446,7.49099018,8.09223532
217,217,83.26292491,77.67498842,5.729558288,5.229396113
218,218,83.83637769,86.54727968,5.323231598,8.043268503
219,219,82.92552364,84.42147484,8.367282873,7.748282494
220,220,85.06533118,86.31845893,10.47946796,10
221,221,84.33221233,88.60079779,7.848446997,10
222,222,83.67728746,90.69206805,0.617100917,4.563359606
223,223,86.0854965,81.62070446,5.409226376,4.440233501
224,224,84.45632783,82.33566412,7.448704187,6.451975516
225,225,84.88145038,89.3528595,8.310029977,9.324410311
226,226,81.60631067,81.509193,5.014311799,10
227,227,83.64812003,84.48370419,9.055060314,8.895517133
228,228,83.36525818,78.9907687,8.47523599,1.698541451
229,229,83.58042682,86.65325729,4.830156273,2.940601871
230,230,85.72293221,83.43611202,9.301824243,3.341236871
231,231,83.08642525,77.95658194,3.867409583,1.791929292
232,232,82.35832238,83.45107027,5.619195332,6.868618389
233,233,82.32261222,87.60275756,2.998206671,8.489865419
234,234,82.74767258,87.88970962,6.600247856,8.925018245
235,235,80.73425175,80.84475649,11.724357,10
236,236,86.58258715,84.19253577,7.740810082,5.297394029
237,237,84.05092211,82.71586953,6.872405811,8.552886025
238,238,85.29285206,79.37197597,10.26888604,3.080022478
239,239,83.13336582,79.06886019,10.26074752,1.660829616
240,240,83.56601984,80.27970077,4.593774581,3.477739448
241,241,84.68606456,88.31380029,11.24000642,6.464102541
242,242,81.91834187,90.29108979,0,4.988873396
243,243,83.19332049,85.69981644,5.903248094,4.357271986
244,244,81.62119643,78.43416905,5.320722937,7.28006466
245,245,80.25995982,83.48942962,9.642126994,8.114035159
246,246,81.80816835,75.42723273,3.405614592,8.786006905
247,247,85.38487052,85.6172603,8.784281045,8.89683166
248,248,81.96123222,86.03230993,6.442137971,8.796379266
249,249,84.95123699,82.80514561,12.00479314,0
250,250,83.79776104,82.69784455,3.831535947,6.976476932
251,251,84.45941795,78.59062278,8.990574012,6.187035953
252,252,83.24210613,79.10665757,9.689511354,8.123194957
253,253,80.06618293,76.81361584,0.576672582,0
254,254,83.87347581,79.13146894,0.33,3.419336221
255,255,81.67617764,77.38602898,5.30783657,10
256,256,81.32689436,82.42836942,8.634860514,1.719414503
257,257,84.61154294,84.6608005,6.48667323,0
258,258,84.69822207,86.81840985,3.956234874,0
259,259,79.70537972,77.41604455,2.979952457,9.639550776
260,260,82.05708515,74.30436954,0.935689955,2.522843612
261,261,83.14658794,86.12029264,12.90357471,10
262,262,82.67266799,86.82151252,6.011380727,10
