id,participant,person,trait
477,227,friend,62
478,228,friend,67
479,229,friend,69
480,230,friend,55
481,231,friend,73
482,232,friend,70
483,233,friend,60
484,234,friend,64
485,235,friend,55
486,236,friend,59
487,237,friend,78
488,238,friend,85
489,239,friend,59
490,240,friend,61
491,241,friend,72
492,242,friend,55
493,243,friend,83
494,244,friend,70
495,245,friend,78
496,246,friend,71
497,247,friend,85
498,248,friend,57
499,249,friend,61
500,250,friend,59
501,1,stranger,55
502,2,stranger,63
503,3,stranger,63
504,4,stranger,36
505,5,stranger,64
506,6,stranger,45
507,7,stranger,36
508,8,stranger,55
509,9,stranger,49
510,10,stranger,51
511,11,stranger,53
512,12,stranger,47
513,13,stranger,45
514,14,stranger,50
515,15,stranger,43
516,16,stranger,44
517,17,stranger,45
518,18,stranger,47
519,19,stranger,40
520,20,stranger,38
521,21,stranger,36
522,22,stranger,41
523,23,stranger,41
524,24,stranger,52
525,25,stranger,53
526,26,stranger,53
527,27,stranger,36
528,28,stranger,50
529,29,stranger,59
530,30,stranger,43
531,31,stranger,37
532,32,stranger,39
533,33,stranger,38
534,34,stranger,41
535,35,stranger,53
536,36,stranger,60
537,37,stranger,42
538,38,stranger,42
539,39,stranger,49
540,40,stranger,50
541,41,stranger,35
542,42,stranger,46
543,43,stranger,37
544,44,stranger,40
545,45,stranger,46
546,46,stranger,60
547,47,stranger,38
548,48,stranger,44
549,49,stranger,64
550,50,stranger,59
551,51,stranger,43
552,52,stranger,58
553,53,stranger,38
554,54,stranger,41
555,55,stranger,58
556,56,stranger,63
557,57,stranger,63
558,58,stranger,63
559,59,stranger,46
560,60,stranger,61
561,61,stranger,57
562,62,stranger,52
563,63,stranger,63
564,64,stranger,41
565,65,stranger,51
566,66,stranger,57
567,67,stranger,44
568,68,stranger,41
569,69,stranger,46
570,70,stranger,42
571,71,stranger,58
572,72,stranger,61
573,73,stranger,58
574,74,stranger,58
575,75,stranger,55
576,76,stranger,60
577,77,stranger,53
578,78,stranger,40
579,79,stranger,43
580,80,stranger,57
581,81,stranger,65
582,82,stranger,51
583,83,stranger,55
584,84,stranger,45
585,85,stranger,58
586,86,stranger,65
587,87,stranger,57
588,88,stranger,51
589,89,stranger,56
590,90,stranger,50
591,91,stranger,36
592,92,stranger,62
593,93,stranger,36
594,94,stranger,59
595,95,stranger,36
596,96,stranger,53
597,97,stranger,61
598,98,stranger,43
599,99,stranger,39
600,100,stranger,58
601,101,stranger,35
602,102,stranger,60
603,103,stranger,58
604,104,stranger,54
605,105,stranger,60
606,106,stranger,41
607,107,stranger,59
608,108,stranger,65
609,109,stranger,54
610,110,stranger,46
611,111,stranger,51
612,112,stranger,59
613,113,stranger,65
614,114,stranger,61
615,115,stranger,51
616,116,stranger,57
617,117,stranger,63
618,118,stranger,35
619,119,stranger,40
620,120,stranger,62
621,121,stranger,57
622,122,stranger,43
623,123,stranger,57
624,124,stranger,39
625,125,stranger,50
626,126,stranger,39
627,127,stranger,63
628,128,stranger,43
629,129,stranger,63
630,130,stranger,48
631,131,stranger,46
632,132,stranger,39
633,133,stranger,36
634,134,stranger,57
635,135,stranger,57
636,136,stranger,35
637,137,stranger,35
638,138,stranger,55
639,139,stranger,38
640,140,stranger,49
641,141,stranger,41
642,142,stranger,63
643,143,stranger,39
644,144,stranger,45
645,145,stranger,64
646,146,stranger,50
647,147,stranger,42
648,148,stranger,52
649,149,stranger,60
650,150,stranger,41
651,151,stranger,37
652,152,stranger,39
653,153,stranger,63
654,154,stranger,46
655,155,stranger,47
656,156,stranger,53
657,157,stranger,56
658,158,stranger,42
659,159,stranger,57
660,160,stranger,37
661,161,stranger,57
662,162,stranger,64
663,163,stranger,61
664,164,stranger,60
665,165,stranger,59
666,166,stranger,65
667,167,stranger,38
668,168,stranger,38
669,169,stranger,65
670,170,stranger,55
671,171,stranger,53
672,172,stranger,60
673,173,stranger,43
674,174,stranger,41
675,175,stranger,44
676,176,stranger,62
677,177,stranger,53
678,178,stranger,53
679,179,stranger,54
680,180,stranger,54
681,181,stranger,55
682,182,stranger,65
683,183,stranger,51
684,184,stranger,65
685,185,stranger,53
686,186,stranger,37
687,187,stranger,62
688,188,stranger,54
689,189,stranger,64
690,190,stranger,40
691,191,stranger,49
692,192,stranger,44
693,193,stranger,37
694,194,stranger,37
695,195,stranger,62
696,196,stranger,59
697,197,stranger,56
698,198,stranger,57
699,199,stranger,46
700,200,stranger,44
701,201,stranger,39
702,202,stranger,42
703,203,stranger,45
704,204,stranger,44
705,205,stranger,40
706,206,stranger,64
707,207,stranger,35
708,208,stranger,47
709,209,stranger,48
710,210,stranger,43
711,211,stranger,54
712,212,stranger,61
713,213,stranger,35
714,214,stranger,59
715,215,stranger,35
716,216,stranger,51
717,217,stranger,45
718,218,stranger,61
719,219,stranger,55
720,220,stranger,36
721,221,stranger,45
722,222,stranger,63
723,223,stranger,56
724,224,stranger,43
725,225,stranger,46
726,226,stranger,55
727,227,stranger,54
728,228,stranger,43
729,229,stranger,52
730,230,stranger,58
731,231,stranger,62
732,232,stranger,54
733,233,stranger,45
734,234,stranger,49
735,235,stranger,37
736,236,stranger,59
737,237,stranger,37
738,238,stranger,59
739,239,stranger,47
740,240,stranger,59
741,241,stranger,59
742,242,stranger,55
743,243,stranger,46
744,244,stranger,39
745,245,stranger,65
746,246,stranger,57
747,247,stranger,56
748,248,stranger,46
749,249,stranger,43
750,250,stranger,60
